title,lat,lon,avg_price,capacity
V60 Coffee&Bakery,55.765353,37.602206,1100,
V60 Coffee&Bakery,55.747886,37.540035,1100,
Vabene!,55.766226,37.568016,1900,40
Vabene!,55.727848,37.630657,1900,40
Vak’e,55.721854,37.610626,650,50
Valdo,55.770005,37.597325,1600,25
Vecher,,,1500,22
Vero,55.747184,37.654948,1250,18
Veter cafe,55.744813,37.635855,,
Victoria&Albert,55.760423,37.56129,1200,30
Viet Bac,55.769313,37.583706,,
Viet Pho,55.752899,37.640599,750,52
Viet вас,55.754768,37.509517,800,25
Viki Cake,55.742122,37.633825,1500,40
Vina pho,55.750174,37.590607,,
Vina Pho,55.78443,37.596835,500,45
Vina pho,55.742812,37.635091,,
Vivian's,55.754637,37.634671,1700,38
We Cidreria,55.756222,37.633004,1250,200
We Cidreria,55.767949,37.598687,1250,95
Wei dao,55.765261,37.55772,550,25
White fox,55.768474,37.572756,1400,20
White fox,55.74372,37.578201,1400,19
Will Taste,55.737868,37.641636,1000,24
Wine&waffles,55.757733,37.618094,750,
Wino BAR,55.738448,37.659993,1000,80
Wok,55.72462,37.564595,600,50
WowMoscow lounge,55.741138,37.610283,1600,160
Yarden,55.787842,37.681788,,
Ycp,55.763278,37.63356,900,40
Youko,55.755337,37.614108,600,
Yummy,55.744281,37.678993,,
Yurt,55.768471,37.643249,1000,50
Zavarnoy,55.770619,37.563688,1500,23
Zionist Bar,55.757786,37.639246,1050,60
Zotman Pizza,55.725559,37.643569,,
А.Ф. Кони,55.769788,37.655445,700,90
Аби Раби,55.77249,37.677177,450,6
Абрау Дюрсо,55.754842,37.621844,1700,52
Абу Гош,55.771964,37.624915,800,68
Авокадо,55.761006,37.643636,1400,60
Аддис Абеба,55.762409,37.656719,1000,50
Аджария,55.759842,37.609995,2500,40
Азбука Вкуса,55.764763,37.511527,600,
Азбука Вкуса,55.791036,37.622789,400,
Азбука Вкуса,55.718274,37.622063,500,6
Азбука Вкуса,55.738635,37.526069,400,
Азбука Вкуса,55.741102,37.531104,400,15
Азбука Вкуса,55.75119,37.58469,350,20
Азбука Вкуса,55.778441,37.585653,400,5
Азбука Вкуса,55.749354,37.662617,450,6
Азбука Вкуса,55.739624,37.5758,400,14
Азбука Вкуса,55.758095,37.612365,1050,7
Азбука Вкуса,55.759472,37.644995,400,
Азбука Вкуса,55.773077,37.620828,450,8
Азбука Вкуса,55.757529,37.583365,500,10
Азбука Вкуса,55.76894,37.597236,400,10
Азбука Вкуса,55.742572,37.600065,400,22
Азбука Вкуса,55.723507,37.581513,800,12
Азбука Вкуса,55.727375,37.566742,400,10
Азбука Вкуса,55.750147,37.578408,450,15
Азбука Вкуса,55.765228,37.61607,450,10
Азбука Вкуса,55.740728,37.629922,450,10
Азбука Вкуса,55.77167,37.602819,450,25
Азбука Вкуса,55.77961,37.572724,450,6
Азбука Вкуса,55.764708,37.578785,600,9
Азбука Вкуса,55.765829,37.608716,400,10
Азбука Вкуса,55.742043,37.59354,350,8
