lat,lon,price_per_m2,levels,ads_count
55.543949,37.48428,1624.548736462094,18,1
55.543995,37.478001,1711.722402756773,17,5
55.544066,37.540632,1298.7012987012988,22,1
55.544066,37.562335,1275.0,12,1
55.544082,37.567204,1373.1024257340048,17,3
55.544229,37.523348,1000.0,12,1
55.54429,37.486966,2272.7272727272725,9,1
55.544367,37.458714,1579.7327672327674,9,4
55.544477,37.480478,1599.463036963037,15,4
55.544581,37.495428,1250.0,3,1
55.544902,37.478522,1916.2099622457677,9,2
55.544937,37.560844,1447.3684210526317,12,1
55.54511,37.481163,1718.190261909574,14,4
55.545238,37.150987,333.3333333333333,9,1
55.545258,37.557879,1944.4444444444443,12,1
55.545273,37.568417,1250.0,15,1
55.545284,37.547441,1118.4210526315787,17,2
55.545345,37.482394,1388.888888888889,9,1
55.545375,37.539158,1102.2495755517825,16,2
55.54538,37.491647,1540.5405405405406,3,1
55.545416,37.154751,1173.7089201877934,9,1
55.545421,37.551941,1153.8461538461538,22,1
55.545564,37.561535,1293.103448275862,10,1
55.545589,37.48322,1205.7770748355947,9,2
55.545645,37.528253,1250.0,16,1
55.54566,37.497,1315.7894736842106,3,1
55.545691,37.484541,1520.7322586523067,17,7
55.545997,37.531927,1021.2038630713329,16,2
55.546083,37.549184,2096.7741935483873,17,1
55.54616,37.569117,1147.6608187134502,13,2
55.546496,37.481648,1480.917592051432,17,5
55.546501,37.48941,1795.6370237561828,17,5
55.546557,37.519557,1263.157894736842,14,1
55.54671,37.480121,1581.9520525983605,17,3
55.546771,37.488161,1411.764705882353,16,1
55.546908,37.552633,1200.0,17,1
55.546918,37.531541,1034.4827586206898,14,1
55.547056,37.545968,1184.2105263157894,17,1
55.547102,37.514805,1945.272983920997,23,20
55.547148,37.522351,1227.4436090225563,12,2
55.547188,37.52819,916.6666666666666,12,1
55.547346,37.525953,1194.0298507462687,10,1
55.547438,37.532619,1288.4615384615386,14,1
55.547474,37.488871,1617.797695262484,9,2
55.547499,37.530418,1153.8461538461538,12,1
55.547713,37.487469,1807.5532249885493,17,4
55.547728,37.494674,1506.6512434933488,3,2
55.547744,37.495976,1467.7103718199608,3,1
55.547937,37.556954,1231.9644839067703,24,1
55.548044,37.558391,1805.5555555555557,16,1
55.548187,37.55151,1472.2753346080306,17,1
55.548472,37.323868,1222.2222222222222,9,1
55.548665,37.48685,1529.4117647058824,18,1
55.54867,37.533337,1153.8461538461538,14,1
55.548711,37.311112,1481.4814814814815,12,1
55.548894,37.487919,1473.922902494331,17,1
55.54893,37.538224,1400.0,14,1
55.548956,37.323697,1052.6315789473683,3,1
55.548966,37.514464,1132.0754716981132,2,1
55.549129,37.4993,1370.3703703703704,3,1
55.549215,37.491961,1758.9222069609316,9,6
55.549261,37.545402,1234.2123285519513,14,3
55.549312,37.310286,1333.3333333333333,12,1
55.549327,37.487586,1274.5098039215686,25,1
55.549516,37.488475,2016.507571022883,17,5
55.549551,37.532403,1410.2564102564102,14,1
55.549725,37.489455,1496.863174666401,17,2
55.549908,37.311148,1261.111111111111,14,2
55.549964,37.490506,2062.0551350129927,17,2
55.55003,37.500288,1561.6438356164383,4,1
55.550132,37.489203,2173.913043478261,17,1
55.550163,37.571246,1263.157894736842,14,1
55.550173,37.32986,1062.6702997275204,3,1
55.550371,37.490074,1620.799811223888,17,5
55.550376,37.31219,1090.909090909091,14,1
55.550392,37.312127,1153.8461538461538,12,1
55.550443,37.328414,1166.6666666666667,12,1
55.550595,37.564859,1214.2857142857142,10,1
55.550606,37.569423,1181.8181818181818,14,1
55.550687,37.509361,1547.6190476190477,16,2
55.550723,37.556208,1342.857142857143,16,1
55.550753,37.570644,1131.578947368421,14,1
55.550799,37.49206,1887.0287698412699,17,4
55.551018,37.314625,1516.2454873646209,14,1
55.55114,37.508185,1140.0,15,1
55.551181,37.556999,1323.5294117647059,12,1
55.551278,37.341278,1281.25,6,2
55.551313,37.340307,1358.1247914581247,4,3
55.551415,37.562604,1298.5810544953767,12,4
55.55142,37.337478,1538.4615384615386,6,1
55.551456,37.339499,1448.2345679012349,5,3
55.551629,37.338645,1000.0,6,1
55.551701,37.477579,1607.142857142857,13,1
55.551721,37.505894,2000.0,16,1
55.551721,37.505975,1698.2397612347606,15,6
55.551802,37.316376,1500.0,7,1
55.551843,37.503953,1560.5985673820246,15,4
55.551909,37.343541,1153.8461538461538,4,1
55.552067,37.507035,1203.7037037037037,3,1
55.552322,37.33012,1052.6315789473683,3,1
55.552408,37.552157,1501.7667844522969,22,1
55.552419,37.564374,1333.3333333333333,2,1
55.552576,37.334055,1458.2970066841035,4,2
55.552581,37.558364,780.399274047187,12,1
55.552602,37.336112,957.886183147094,6,4
55.552612,37.340801,1410.6645443692798,5,2
55.552627,37.342939,1500.0,5,1
55.552637,37.337172,1481.4814814814815,6,1
55.552668,37.343766,1250.0,5,1
55.552683,37.339804,1000.0,5,1
55.552739,37.338762,875.0,6,1
55.55304,37.476995,1889.6728695066731,18,13
55.553422,37.464284,1736.639604835788,15,10
55.553508,37.476582,1550.3875968992247,18,1
